"GEO_ID","NAME","B17021_001E","B17021_001EA","B17021_001M","B17021_001MA","B17021_002E","B17021_002EA","B17021_002M","B17021_002MA","B17021_003E","B17021_003M","B17021_003MA","B17021_003EA","B17021_004E","B17021_004EA","B17021_004M","B17021_004MA","B17021_005E","B17021_005EA","B17021_005M","B17021_005MA","B17021_006E","B17021_006EA","B17021_006M","B17021_006MA","B17021_007E","B17021_007EA","B17021_007M","B17021_007MA","B17021_008E","B17021_008EA","B17021_008M","B17021_008MA","B17021_009E","B17021_009EA","B17021_009M","B17021_009MA","B17021_010E","B17021_010EA","B17021_010M","B17021_010MA","B17021_011E","B17021_011EA","B17021_011M","B17021_011MA","B17021_012E","B17021_012M","B17021_012MA","B17021_012EA","B17021_013E","B17021_013EA","B17021_013M","B17021_013MA","B17021_014E","B17021_014M","B17021_014MA","B17021_014EA","B17021_015E","B17021_015EA","B17021_015M","B17021_015MA","B17021_016E","B17021_016EA","B17021_016M","B17021_016MA","B17021_017E","B17021_017EA","B17021_017M","B17021_017MA","B17021_018E","B17021_018EA","B17021_018M","B17021_018MA","B17021_019E","B17021_019EA","B17021_019M","B17021_019MA","B17021_020E","B17021_020EA","B17021_020M","B17021_020MA","B17021_021E","B17021_021EA","B17021_021M","B17021_021MA","B17021_022E","B17021_022EA","B17021_022M","B17021_022MA","B17021_023E","B17021_023M","B17021_023MA","B17021_023EA","B17021_024E","B17021_024EA","B17021_024M","B17021_024MA","B17021_025E","B17021_025EA","B17021_025M","B17021_025MA","B17021_026E","B17021_026EA","B17021_026M","B17021_026MA","B17021_027E","B17021_027EA","B17021_027M","B17021_027MA","B17021_028E","B17021_028EA","B17021_028M","B17021_028MA","B17021_029E","B17021_029EA","B17021_029M","B17021_029MA","B17021_030E","B17021_030EA","B17021_030M","B17021_030MA","B17021_031E","B17021_031M","B17021_031MA","B17021_031EA","B17021_032E","B17021_032EA","B17021_032M","B17021_032MA","B17021_033E","B17021_033EA","B17021_033M","B17021_033MA","B17021_034E","B17021_034EA","B17021_034M","B17021_034MA","B17021_035E","B17021_035M","B17021_035MA","B17021_035EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Income in the past 12 months below poverty level:","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!All relatives","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!All relatives","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!All relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!Non-relatives","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!Non-relatives","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Other living arrangement","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Other living arrangement","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Other living arrangement","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Other living arrangement","Estimate!!Total:!!Income in the past 12 months at or above poverty level:","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!All relatives","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!All relatives","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!All relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!Non-relatives","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!Non-relatives","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Other living arrangement","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Other living arrangement","Annotation of Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Other living arrangement","Annotation of Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Other living arrangement",
"1500000US516500101031","Block Group 1, Census Tract 101.03, Hampton city, Virginia","1013","null","292","null","56","null","44","null","22","34","null","null","0","null","13","null","0","null","13","null","0","null","13","null","22","null","34","null","0","null","13","null","0","null","13","null","0","null","13","null","22","null","34","null","0","13","null","null","22","null","34","null","34","28","null","null","34","null","28","null","34","null","28","null","0","null","13","null","0","null","13","null","957","null","282","null","800","null","291","null","645","null","301","null","645","null","301","null","0","13","null","null","155","null","139","null","72","null","110","null","72","null","110","null","0","null","13","null","83","null","95","null","83","null","95","null","0","null","13","null","157","75","null","null","157","null","75","null","157","null","75","null","0","null","13","null","0","13","null","null",
"1500000US516500101032","Block Group 2, Census Tract 101.03, Hampton city, Virginia","1815","null","483","null","112","null","141","null","97","140","null","null","0","null","13","null","0","null","13","null","0","null","13","null","97","null","140","null","97","null","140","null","0","null","13","null","97","null","140","null","0","null","13","null","0","13","null","null","0","null","13","null","15","24","null","null","15","null","24","null","15","null","24","null","0","null","13","null","0","null","13","null","1703","null","429","null","1676","null","430","null","1203","null","379","null","1203","null","379","null","0","13","null","null","473","null","300","null","203","null","163","null","192","null","155","null","11","null","19","null","270","null","271","null","270","null","271","null","0","null","13","null","27","32","null","null","27","null","32","null","27","null","32","null","0","null","13","null","0","13","null","null",
"1500000US516500101033","Block Group 3, Census Tract 101.03, Hampton city, Virginia","1182","null","401","null","42","null","77","null","42","77","null","null","0","null","13","null","0","null","13","null","0","null","13","null","42","null","77","null","0","null","13","null","0","null","13","null","0","null","13","null","42","null","77","null","42","77","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","1140","null","413","null","1094","null","424","null","978","null","443","null","943","null","425","null","35","56","null","null","116","null","142","null","99","null","138","null","99","null","138","null","0","null","13","null","17","null","32","null","0","null","13","null","17","null","32","null","46","54","null","null","46","null","54","null","46","null","54","null","0","null","13","null","0","13","null","null",
"1500000US516500101034","Block Group 4, Census Tract 101.03, Hampton city, Virginia","1144","null","330","null","18","null","25","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","18","25","null","null","14","null","25","null","0","null","13","null","14","null","25","null","4","null","4","null","1126","null","329","null","898","null","337","null","744","null","306","null","732","null","302","null","12","21","null","null","154","null","157","null","69","null","86","null","69","null","86","null","0","null","13","null","85","null","134","null","67","null","105","null","18","null","29","null","228","94","null","null","188","null","83","null","159","null","80","null","29","null","32","null","40","27","null","null",
"1500000US516500101035","Block Group 5, Census Tract 101.03, Hampton city, Virginia","1078","null","292","null","108","null","88","null","25","38","null","null","0","null","13","null","0","null","13","null","0","null","13","null","25","null","38","null","0","null","13","null","0","null","13","null","0","null","13","null","25","null","38","null","0","13","null","null","25","null","38","null","83","89","null","null","46","null","68","null","0","null","13","null","46","null","68","null","37","null","57","null","970","null","281","null","864","null","297","null","540","null","277","null","540","null","277","null","0","13","null","null","324","null","217","null","77","null","92","null","77","null","92","null","0","null","13","null","247","null","197","null","247","null","197","null","0","null","13","null","106","63","null","null","66","null","48","null","51","null","42","null","15","null","25","null","40","56","null","null",
"1500000US516500101036","Block Group 6, Census Tract 101.03, Hampton city, Virginia","651","null","209","null","19","null","27","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","19","27","null","null","0","null","13","null","0","null","13","null","0","null","13","null","19","null","27","null","632","null","210","null","558","null","226","null","427","null","220","null","427","null","220","null","0","13","null","null","131","null","131","null","66","null","106","null","66","null","106","null","0","null","13","null","65","null","77","null","65","null","77","null","0","null","13","null","74","82","null","null","48","null","46","null","16","null","26","null","32","null","38","null","26","42","null","null",
"1500000US516500101041","Block Group 1, Census Tract 101.04, Hampton city, Virginia","1150","null","415","null","179","null","205","null","56","84","null","null","56","null","84","null","56","null","84","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","123","185","null","null","123","null","185","null","123","null","185","null","0","null","13","null","0","null","13","null","971","null","402","null","889","null","400","null","400","null","270","null","400","null","270","null","0","13","null","null","489","null","378","null","420","null","346","null","301","null","243","null","119","null","113","null","69","null","120","null","69","null","120","null","0","null","13","null","82","58","null","null","82","null","58","null","82","null","58","null","0","null","13","null","0","13","null","null",
"1500000US516500101042","Block Group 2, Census Tract 101.04, Hampton city, Virginia","2587","null","1018","null","575","null","394","null","520","396","null","null","80","null","154","null","80","null","154","null","0","null","13","null","440","null","386","null","203","null","266","null","78","null","152","null","125","null","146","null","237","null","335","null","237","335","null","null","0","null","13","null","55","79","null","null","0","null","13","null","0","null","13","null","0","null","13","null","55","null","79","null","2012","null","935","null","1877","null","978","null","516","null","332","null","516","null","332","null","0","13","null","null","1361","null","1018","null","1109","null","970","null","1109","null","970","null","0","null","13","null","252","null","328","null","252","null","328","null","0","null","13","null","135","174","null","null","63","null","73","null","25","null","39","null","38","null","57","null","72","113","null","null",
"1500000US516500101043","Block Group 3, Census Tract 101.04, Hampton city, Virginia","489","null","266","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","489","null","266","null","489","null","266","null","415","null","274","null","415","null","274","null","0","13","null","null","74","null","108","null","0","null","13","null","0","null","13","null","0","null","13","null","74","null","108","null","74","null","108","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null",
"1500000US516500101044","Block Group 4, Census Tract 101.04, Hampton city, Virginia","831","null","358","null","33","null","27","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","33","27","null","null","5","null","8","null","5","null","8","null","0","null","13","null","28","null","27","null","798","null","359","null","715","null","381","null","261","null","169","null","261","null","169","null","0","13","null","null","454","null","362","null","190","null","245","null","190","null","245","null","0","null","13","null","264","null","268","null","264","null","268","null","0","null","13","null","83","58","null","null","67","null","49","null","56","null","50","null","11","null","19","null","16","26","null","null",
"1500000US516500101045","Block Group 5, Census Tract 101.04, Hampton city, Virginia","1688","null","581","null","538","null","399","null","538","399","null","null","0","null","13","null","0","null","13","null","0","null","13","null","538","null","399","null","0","null","13","null","0","null","13","null","0","null","13","null","538","null","399","null","527","397","null","null","11","null","19","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","1150","null","457","null","909","null","425","null","532","null","409","null","532","null","409","null","0","13","null","null","377","null","282","null","150","null","184","null","119","null","143","null","31","null","47","null","227","null","215","null","227","null","215","null","0","null","13","null","241","188","null","null","230","null","184","null","221","null","184","null","9","null","18","null","11","21","null","null",
"1500000US516500102001","Block Group 1, Census Tract 102, Hampton city, Virginia","834","null","198","null","22","null","24","null","22","24","null","null","0","null","13","null","0","null","13","null","0","null","13","null","22","null","24","null","0","null","13","null","0","null","13","null","0","null","13","null","22","null","24","null","17","24","null","null","5","null","8","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","812","null","201","null","795","null","202","null","755","null","205","null","755","null","205","null","0","13","null","null","40","null","41","null","26","null","37","null","26","null","37","null","0","null","13","null","14","null","19","null","14","null","19","null","0","null","13","null","17","12","null","null","17","null","12","null","17","null","12","null","0","null","13","null","0","13","null","null",
"1500000US516500103041","Block Group 1, Census Tract 103.04, Hampton city, Virginia","1578","null","515","null","31","null","21","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","31","21","null","null","0","null","13","null","0","null","13","null","0","null","13","null","31","null","21","null","1547","null","513","null","1407","null","514","null","907","null","464","null","907","null","464","null","0","13","null","null","500","null","406","null","218","null","333","null","168","null","258","null","50","null","76","null","282","null","303","null","282","null","303","null","0","null","13","null","140","83","null","null","120","null","65","null","102","null","58","null","18","null","29","null","20","30","null","null",
"1500000US516500103042","Block Group 2, Census Tract 103.04, Hampton city, Virginia","3767","null","1015","null","192","null","120","null","100","92","null","null","74","null","85","null","27","null","42","null","47","null","73","null","26","null","42","null","0","null","13","null","0","null","13","null","0","null","13","null","26","null","42","null","26","42","null","null","0","null","13","null","92","77","null","null","78","null","74","null","78","null","74","null","0","null","13","null","14","null","28","null","3575","null","1023","null","3308","null","1041","null","2397","null","744","null","2397","null","744","null","0","13","null","null","911","null","882","null","0","null","13","null","0","null","13","null","0","null","13","null","911","null","882","null","911","null","882","null","0","null","13","null","267","148","null","null","257","null","146","null","247","null","145","null","10","null","16","null","10","16","null","null",
"1500000US516500103043","Block Group 3, Census Tract 103.04, Hampton city, Virginia","1359","null","405","null","88","null","113","null","88","113","null","null","52","null","103","null","52","null","103","null","0","null","13","null","36","null","53","null","36","null","53","null","0","null","13","null","36","null","53","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","1271","null","390","null","720","null","370","null","462","null","310","null","462","null","310","null","0","13","null","null","258","null","216","null","82","null","126","null","82","null","126","null","0","null","13","null","176","null","176","null","162","null","168","null","14","null","22","null","551","222","null","null","470","null","176","null","404","null","168","null","66","null","72","null","81","91","null","null",
"1500000US516500103044","Block Group 4, Census Tract 103.04, Hampton city, Virginia","1469","null","410","null","320","null","327","null","320","327","null","null","0","null","13","null","0","null","13","null","0","null","13","null","320","null","327","null","192","null","289","null","192","null","289","null","0","null","13","null","128","null","148","null","91","116","null","null","37","null","53","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","1149","null","296","null","791","null","287","null","618","null","275","null","618","null","275","null","0","13","null","null","173","null","148","null","0","null","13","null","0","null","13","null","0","null","13","null","173","null","148","null","166","null","145","null","7","null","12","null","358","181","null","null","358","null","181","null","358","null","181","null","0","null","13","null","0","13","null","null",
"1500000US516500103061","Block Group 1, Census Tract 103.06, Hampton city, Virginia","1574","null","509","null","107","null","96","null","55","70","null","null","55","null","70","null","40","null","66","null","15","null","25","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","52","65","null","null","22","null","37","null","22","null","37","null","0","null","13","null","30","null","52","null","1467","null","487","null","1273","null","494","null","1035","null","479","null","1035","null","479","null","0","13","null","null","238","null","185","null","0","null","13","null","0","null","13","null","0","null","13","null","238","null","185","null","238","null","185","null","0","null","13","null","194","109","null","null","168","null","83","null","148","null","75","null","20","null","35","null","26","44","null","null",
